Date of Inventory Valuation,Time of Inventory Valuation,Date Inventory Received,Time Inventory Received,Invoice ID,Invoice Line #,State Tracking ID,Batch,Receiving License,Product Type,Subtype,Brand,Product Name,Classification,Tier,Available,Reserved,Packed & Ready,Unit Cost,Amount,Unit of Measure,Total Cost,Unit Price,Potential Gross Sales,Location,Date Last Received,Time Last Received,Packaged Date,External Invoice ID,Manifest #,Harvest Batch,Production Batch #,Attributes,Product Barcodes,Inventory Barcodes,Distributor,Distributor License,Harvest Date,Manufacture Date,Expiration Date,Lab Testing State,Total Mg THC,Total Mg CBD,Size,Extraction Method,External ID,Inventory Type,Alpha Bisabolol Lab Result,Alpha Humulene Lab Result,Alpha Pinene Lab Result,Beta Caryophyllene Lab Result,Beta Myrcene Lab Result,Beta Pinene Lab Result,Caryophyllene Lab Result,Cbd Lab Result,Cbda Lab Result,Cbg Lab Result,Cbn Lab Result,Eucalyptol Lab Result,Limonene Lab Result,Linalool Lab Result,Thc Lab Result,Thca Lab Result
"07/27/2025","08:13 AM","05/30/2025","11:51:04","78fc275a-60ee-4a70-8b96-6fd440fdeeed","7af3da1a-c324-4c9d-b025-2b8ca7db96fb","1A41103000002BF000109972","FRX0H","RE000727","EDIBLE","OTHER","VALHALLA","VALHALLA GREEN APPLE SOFT LOZENGES 100MG 10 PK","HYBRID","","20.000000","0.000000","0.000000","10.000000","100","MILLIGRAMS","200.000000000000","20.0","400.0","A. LIVE ADULT USE PRODUCTS","05/30/2025","12:00:22","05/09/2025","# 6091 ( AU )","0001070803","","","GUMMY","","Blq","TERRASCEND NJ","MM000005","","","10/30/2025","","100.0","","100 MG","","fe9b9c35-e8c7-40f6-8827-722d4d825d7e","ADULT",,,,,,,,,,4.2666 %,,,,,86.1888 %,
"07/27/2025","08:13 AM","07/02/2025","15:40:42","2bee88b2-4b4f-4ece-9b5f-9f2cc3f45909","27a4e937-e915-43a0-ab3a-7a10517f856e","1A411030000445D000019444","UY453","RE000727","EDIBLE","GUMMY","CAMINO","CAMINO WATERMELON LEMONADE BLISS 5MG 20 PK GUMMIES","HYBRID","","32.000000","0.000000","0.000000","12.000000","100","MILLIGRAMS","384.000000000000","24.0","768.0","A. LIVE ADULT USE PRODUCTS","07/02/2025","15:51:52","07/01/2025","#615626","0001092802","","","5MG 20PK,GUMMY","","Abc","GARDEN SOCIETY","m00000001","","","","","100.0","","100 MG","","40b6ff14-9d4b-401a-8fa5-e1fa9f110b70","ADULT",
"07/27/2025","08:13 AM","06/10/2025","13:37:36","ec582219-a857-4cd2-b033-520b1b5b9267","9d936ef9-c53f-4ba3-ba5a-e91f7ac0254b","1A4110300001CE9000214534","ZPVUR","RE000727","EDIBLE","CHOCOLATE","INCREDIBLES","INCREDIBLES RED VELVET CAKE (1:1 CBD:THC) 200MG","HYBRID","","5.000000","0.000000","0.000000","10.000000","100","MILLIGRAMS","50.000000000000","35.0","175.0","A. LIVE ADULT USE PRODUCTS","06/10/2025","14:09:14","06/05/2025","# 209983","0001075107","","","CHOCOLATE","","Y9v","GREEN THUMB INDUSTRIES","","","","11/08/2025","","100.0","","100 MG","","6557a216-37d4-4640-8d61-691103532de0","ADULT",
"07/27/2025","08:13 AM","06/24/2025","11:05:09","971dc575-c23c-48cb-9607-e0edc5d3d468","261e90c5-79fe-4222-afc5-6f2abb7b8f3e","1A4110300003201000016188","BLFOO","RE000727","EDIBLE","GUMMY","PEARLS","GRÖN PEARLS 10PK 4:1 POMEGRANATE 400MG CBD:100MG THC","HYBRID","","5.000000","0.000000","0.000000","16.000000","100","MILLIGRAMS","80.000000000000","32.0","160.0","A. LIVE ADULT USE PRODUCTS","06/24/2025","11:14:49","06/23/2025","# 1005134","0001086067","","","EDIBLE,RATIO,GRÖN PEARLS 10PK 4:1 POMEGRANATE 400MG CBD:100MG THC,HYBRID,GRÖN,GUMMY,POMEGRANATE 4:1 CBD:THC 10PK","","E0k","MPX NEW JERSEY LLC ℅ GRÖN","MC000000001","","","10/15/2025","","100.0","400.0","100 MG","","b26ae2c6-864f-4ebd-8392-de11f51cf76f","ADULT",
"07/27/2025","08:13 AM","07/22/2025","16:19:45","6368dc93-537a-4fd5-9060-15fc2d3b79e0","d45cf407-2ef0-43cc-866a-fa02552a3b31","ABC110300003201000017770","BWWBH","RE000727","EDIBLE","GUMMY","MEGA","MEGA 100MG 2PC PEACH MANGO HASH ROSIN","HYBRID","","35.000000","0.000000","0.000000","9.000000","100","MILLIGRAMS","315.000000000000","18.0","630.0","A. LIVE ADULT USE PRODUCTS","07/22/2025","16:20:57","07/18/2025","#1030915","0001105554","","","HEAD HIGH,BODY HIGH,HASH ROSIN,GUMMY,MEGA,PEACH,MANGO","","rY5","MPX NEW JERSEY LLC ℅ GRÖN","MC000000001","","","12/26/2025","","","","100 MG","","2eca2262-3ade-466c-8181-0b4bfcc1092f","ADULT",
"07/27/2025","08:13 AM","07/17/2025","12:38:35","8a801b24-d0b8-47d7-b734-36544d7a4188","0e84a077-e198-4085-a09e-4e7a094de045","1A411030000206D000047315","SQM35","RE000727","PREROLL","FLOWER","FERNWAY","FERNWAY 1G INDICA PREROLL","INDICA","","19.000000","0.000000","0.000000","7.200000","1","GRAMS","136.800000000000","16.0","304.0","A. LIVE ADULT USE PRODUCTS","07/17/2025","12:48:05","07/16/2025","#017821 (AU)","0001101600","","","TOP SHELF","","U7C","FERNWAY GARDEN STATE LLC","M000074","","","12/15/2025","","","","1 G","","a70ee24c-cb84-4883-90e9-924cd9f9a12a","ADULT",0.11 %,0.17 %,0.02 %,0.51 %,0.21 %,0.02 %,,,,0.32 %,,,0.22 %,,28.76 %,31.8 %
"07/27/2025","08:13 AM","06/18/2025","15:07:01","a9aab693-4a37-4c90-9dbf-76ed140b2c65","8ac9efdc-c4c3-4a21-99e3-2fa283e83248","1A411030000206D000043970","U7RL3","RE000727","CARTRIDGE","510 THREAD","FERNWAY","FERNWAY LAVENDER DREAM 1G CARTRIDGE","INDICA","","11.000000","0.000000","0.000000","24.000000","1","GRAMS","264.000000000000","60.0","660.0","A. LIVE ADULT USE PRODUCTS","06/18/2025","15:16:08","06/17/2025","# 016623","0001082621","","","CARTRIDGE","","yAT","FERNWAY GARDEN STATE LLC","M000074","","","06/01/2026","","87.8","1.3","1 G","","178720af-4ce8-4f38-af65-86a1c6bd9790","ADULT",,,,0.13 %,0.79 %,,,,,3.15 %,,,1.34 %,,84.92 %,
"07/27/2025","08:13 AM","06/26/2025","12:10:30","adcb0b1a-9099-4f4a-b83c-cc9e58c97cf4","2170c976-dc58-4cb2-a693-c829443eeda7","1A4110300006C99000020825","VMKO8","RE000727","CARTRIDGE","510 THREAD","ROVE","ROVE 0.5G PUNCH CARTRIDGE","SATIVA","","7.000000","0.000000","0.000000","19.998945","0.5","GRAMS","139.992615000000","40.0","280.0","A. LIVE ADULT USE PRODUCTS","06/26/2025","12:17:07","06/25/2025","#598","0001088136","","","CARTRIDGE","","2Ve","VICTORY NATURAL FARMS, LLC","M000123","","","10/27/2025","","","","0.5 G","","8ae5b35d-ca14-4102-a56d-5f7a8fa056cf","ADULT",,,,,,,,,,2.56 %,0.76 %,,0.91 %,,87.54 %,
"07/27/2025","08:13 AM","07/17/2025","12:38:35","8a801b24-d0b8-47d7-b734-36544d7a4188","58495935-2e37-4339-9c8d-b2436462d9bd","1A411030000206D000047322","OPYN3","RE000727","CARTRIDGE","510 THREAD","FERNWAY","FERNWAY RED HEADED STRANGER 1G CARTRIDGE","SATIVA","","22.000000","0.000000","0.000000","24.000000","1","GRAMS","528.000000000000","60.0","1320.0","A. LIVE ADULT USE PRODUCTS","07/17/2025","12:48:05","07/16/2025","#017821 (AU)","0001101600","","","CARTRIDGE,CINNAMON,GAS,ORANGES","","lqi","FERNWAY GARDEN STATE LLC","M000074","","","06/30/2026","","82.4","1.5","1 G","","c0aa609d-708d-4a52-a94f-61096848f4f0","ADULT",0.0242 %,0.584 %,0.129 %,2.0 %,0.241 %,0.0967 %,,0.1636 %,,2.4 %,0.3622 %,0.0823 %,1.01 %,,80.08 %,
"07/27/2025","08:13 AM","06/26/2025","13:29:37","1c6827d0-5a37-45e7-8864-9082caea62e4","1699f240-3b1c-40cc-aab7-39712db7bb26","1A4110300000002000158145","DFP2F","RE000727","FLOWER","PRE-PACK SMALLS","OZONE","OZONE 7G RUNTZ POPCORN","HYBRID","","8.000000","0.000000","0.000000","28.000000","7","GRAMS","224.000000000000","65.0","520.0","A. LIVE ADULT USE PRODUCTS","06/26/2025","13:34:04","05/27/2025","#1010962","0001086739","","","BIG BAGS","","KXM","ASCEND NEW JERSEY","9292020","","","11/27/2025","","","","7 G","","3c9b351b-838e-451b-8bba-8b2e218670b9","ADULT",,0.04 %,0.02 %,0.23 %,0.26 %,0.04 %,,0.07 %,0.08 %,0.15 %,,,0.26 %,,27.16 %,29.84 %
"07/27/2025","08:13 AM","06/10/2025","13:37:36","ec582219-a857-4cd2-b033-520b1b5b9267","dc2d81a3-94ec-4fcb-b821-1c221e43af6a","1A4110300001CE9000214544","N7PK5","RE000727","FLOWER","PRE-PACK","RYTHM","RYTHM 3.5G FROZEN MARGARITA FLOWER","SATIVA","","9.000000","0.000000","0.000000","25.000000","3.5","GRAMS","225.000000000000","55.0","495.0","A. LIVE ADULT USE PRODUCTS","06/10/2025","14:09:14","06/05/2025","# 209983","0001075107","","","HAPPY,CREATIVE,ENERGETIC,SWEET SPOT,HERBAL,LEMON,CITRUS","","HFx","GREEN THUMB INDUSTRIES","","","","11/24/2025","","","","3.5 G","","16c558c1-81f3-4c41-adeb-3835a155141f","ADULT",,0.13 %,0.25 %,0.7 %,0.72 %,0.18 %,,,,0.26 %,,,1.31 %,,24.33 %,27.05 %
"07/27/2025","08:13 AM","07/17/2025","12:38:35","8a801b24-d0b8-47d7-b734-36544d7a4188","65d6b6f6-96da-438b-9dbf-2a98fbd5eb35","1A411030000206D000047319","KNUYG","RE000727","CARTRIDGE","READY TO USE","FERNWAY","FERNWAY 0.3G MANGO TRAVELER","HYBRID","","19.000000","0.000000","0.000000","12.800000","0.3","GRAMS","243.200000000000","32.0","608.0","A. LIVE ADULT USE PRODUCTS","07/17/2025","12:48:05","07/16/2025","#017821 (AU)","0001101600","","","BALANCED,HAPPY,SOCIAL,DISPOSABLE,FERNWAY,ALL-IN-ONE,0.3G,300MG,TRAVELER,SWEET,FRUITY,CITRUS","","n2o","FERNWAY GARDEN STATE LLC","M000074","","","06/13/2026","","","","0.3 G","","e6a2a2e7-dd4a-4000-842d-4619f50d2a90","ADULT",0.0244 %,0.0726 %,0.024 %,0.301 %,1.17 %,0.0899 %,,0.8128 %,,2.838 %,1.671 %,,0.455 %,,78.89 %,
"07/27/2025","08:13 AM","06/23/2025","15:57:01","16be0d4d-62dc-48e7-b43a-e4ce959b30d0","dbcc0970-b758-4a82-b115-798b723f665f","1A41103000002BF000112530","SDGBV","RE000727","CARTRIDGE","510 THREAD","LEGEND","LEGEND 1G CHERRY PIE CARTRIDGE","INDICA","","6.000000","0.000000","0.000000","24.000000","1","GRAMS","144.000000000000","60.0","360.0","A. LIVE ADULT USE PRODUCTS","06/23/2025","15:59:11","04/09/2025","#6513(AU)","0001085107","","","CARTRIDGE","","Bxd","TERRASCEND NJ","MM000005","","","08/28/2025","","","","1 G","","4852253b-4c4d-4bb9-9c64-ca6a04a8c14d","ADULT",,0.1 %,1.08 %,0.35 %,1.4 %,0.31 %,,0.24 %,,3.37 %,0.39 %,,0.62 %,,84.81 %,
"07/27/2025","08:13 AM","07/10/2025","14:28:28","007c4b1c-eb7f-44e8-8dfe-a014753dbc09","dc3d417c-51b0-4f59-a27e-e488cfbb8b97","1A41103000002BF000130601","G7XLV","RE000727","CARTRIDGE","510 THREAD","LEGEND","LEGEND 1G RASPBERRY CRUSH CARTRIDGE","HYBRID","","4.000000","0.000000","0.000000","22.500000","1","GRAMS","90.000000000000","60.0","240.0","A. LIVE ADULT USE PRODUCTS","07/10/2025","14:36:18","06/03/2025","#6893(AU)","0001096784","","","CARTRIDGE","","u4k","TERRASCEND NJ","MM000005","","","11/13/2025","","","","1 G","","6d3a1dd6-a3bb-4386-8f68-85437b2183b6","ADULT",0.05 %,0.02 %,0.02 %,0.08 %,0.03 %,0.03 %,,0.27 %,,3.44 %,0.33 %,,0.03 %,,89.9 %,
"07/27/2025","08:13 AM","07/23/2025","16:04:46","b5ca84c6-f2d7-47ba-838f-18f3b790ac79","56f7fc82-6ff3-4a54-b342-ab47b033f23b","1A41103000002BE000083473","WSHMQ","RE000727","FLOWER","PRE-PACK","KIND TREE","KIND TREE 14G PLATINUM PEACHES FLOWER","INDICA","","7.000000","0.000000","0.000000","85.500000","14","GRAMS","598.500000000000","190.0","1330.0","A. LIVE ADULT USE PRODUCTS","07/23/2025","16:10:42","07/09/2025","","","","","RELIEF,CALMING,RELAXING,BIG BAGS,MINTY,SWEET,PEACH","","TrX","TERRASCEND NJ","MM000005","","","01/11/2026","","","","14 G","","fc3aa726-0413-41a7-be05-91fb0a661edd","ADULT",0.04 %,0.09 %,0.08 %,0.31 %,0.44 %,0.11 %,,0.1 %,0.11 %,0.18 %,,,0.79 %,,32.02 %,36.06 %
"07/27/2025","08:13 AM","07/02/2025","15:40:42","2bee88b2-4b4f-4ece-9b5f-9f2cc3f45909","5697bfb2-df1e-43b3-adc1-9a02d7ea5993","1A411030000445D000019451","5KVET","RE000727","EDIBLE","GUMMY","LOST FARMS","LOST FARMS STRAWBERRY LEMONADE X HAZY COOKIES LIVE RESIN GUMMIES 100MG 10PK - 100 MG - 10 PACK","SATIVA","","8.000000","0.000000","0.000000","15.000000","100","MILLIGRAMS","120.000000000000","30.0","240.0","A. LIVE ADULT USE PRODUCTS","07/02/2025","15:51:52","07/01/2025","#615626","0001092802","","","INSPIRED,HAPPY,FOCUSED,ENERGETIC,CREATIVE,100MG 10PK,GUMMY,LIVE RESIN","","din","GARDEN SOCIETY","m00000001","","","","","","","100 MG","","8980e665-eb00-41ea-a1dc-b175bad8c271","ADULT",
"07/27/2025","08:13 AM","07/21/2025","12:17:40","3cfbb024-6d5d-4353-8482-74e257c82dc8","826baa11-a5ca-4537-bf79-c6b9a613f9b4","1A411030000238D000090360","L7E0W","RE000727","PREROLL","FLOWER","GARDEN GREENS","GARDEN GREENS 2.5G RAINBOW GUAVA 5PK PREROLL","SATIVA","","13.000000","0.000000","0.000000","19.125000","2.5","GRAMS","248.625000000000","45.0","585.0","A. LIVE ADULT USE PRODUCTS","07/21/2025","12:27:03","07/18/2025","# 4824","0001103589","","","PREROLL,GARDEN GREENS,MULTI-PACK,RAINBOW GUAVA","","dvV","GARDEN GREENS NJ","mc000000001","","","07/24/2026","","","","2.5 G","","a4eafe29-3e63-420b-b792-65a8cbf63de6","ADULT",0.09 %,0.13 %,0.06 %,0.55 %,0.44 %,0.08 %,,,,0.61 %,,,0.83 %,,37.69 %,42.7 %
"07/27/2025","08:13 AM","04/15/2025","11:53:19","a7a2f088-971e-4eeb-8de3-138933b3b83d","114e2d7b-80e6-4db1-915a-a1053150cf8f","1A4110300003201000012784","YW5PO","RE000727","EDIBLE","GUMMY","PEARLS","GRÖN PEARLS 100MG 10PK 3:1 BLUEBERRY LEMONADE CBG:THC DAYTIME SATIVA","SATIVA","","13.000000","0.000000","0.000000","11.200000","100","MILLIGRAMS","145.600000000000","32.0","416.0","A. LIVE ADULT USE PRODUCTS","04/15/2025","12:01:09","04/11/2025","# 950542","0001039418","","","PEARLS,RATIO,GRÖN,GUMMY,GRÖN PEARLS 3:1 BLUEBERRY LEMONADE 300MG CBG:100MG THC DAYTIME SATIVA,EDIBLE","","UZf","MPX NEW JERSEY LLC ℅ GRÖN","MC000000001","","","08/12/2025","","100.0","","100 MG","","0e037c56-0b54-47e1-8440-8e2d445538aa","ADULT",
"07/27/2025","08:13 AM","05/22/2025","14:48:46","95cc7f61-b3f6-4ade-8f84-fd760aa2d764","a686759b-94fa-4eec-9fa2-7a1d41fce434","1A4110300003201000014727","KNMRB","RE000727","EDIBLE","GUMMY","PEARLS","GRÖN PEARLS BLACKBERRY LEMONADE 1:1:1 CBD:CBN:THC 10PK","INDICA","","11.000000","0.000000","0.000000","16.000000","100","MILLIGRAMS","176.000000000000","32.0","352.0","A. LIVE ADULT USE PRODUCTS","05/22/2025","14:58:21","05/21/2025","# 982173 ( AU )","0001065620","","","RATIO,EDIBLES,GRÖN,PEARLS,GUMMY,BLACKBERRY LEMONADE 1:1:1 CBD:CBN:THC 10PK","","Jev","MPX NEW JERSEY LLC ℅ GRÖN","MC000000001","","","09/24/2025","","100.0","","100 MG","","63a03d41-6545-4b14-854b-99c835c253bb","ADULT",
"07/27/2025","08:13 AM","06/25/2025","12:18:10","3a5c20d4-4432-4398-adb2-980be12823c0","6e628fcc-461a-4241-979b-151f810403e7","1A4110300007595000009996","2ULQ5","RE000727","CARTRIDGE","ALL-IN-ONE","JERSEY SAUCE BOSS","JERSEY SAUCE BOSS 0.5G MAPLE NECTAR LIVE RESIN DISPOSABLE","HYBRID","","4.000000","0.000000","0.000000","19.382910","0.5","GRAMS","77.531640000000","52.0","208.0","A. LIVE ADULT USE PRODUCTS","06/25/2025","12:40:29","06/18/2025","#250384","0001087144","","","LIVE RESIN,DISPOSABLE","","Qt1","GLASS MEADOWS MANUFACTURING","N000245","","","10/04/2025","","","","0.5 G","","8bfef595-cb3a-459e-9c9a-f510007bb909","ADULT",0.16 %,0.26 %,0.48 %,1.02 %,0.75 %,0.23 %,,,,0.98 %,,,1.68 %,,72.02 %,27.06 %
"07/27/2025","08:13 AM","07/17/2025","14:23:29","af4fcfeb-9a91-4302-b6a3-e067de51f1a3","32c25d5f-5941-4973-b671-fe4ce83c6512","1A4110300001CE9000083276","OK4HG","RE000727","PREROLL","FLOWER","DOGWALKERS","DOGWALKERS 1.75G WHITE FIRE OG PREROLLS","SATIVA","","10.000000","0.000000","0.000000","14.000000","1.75","GRAMS","140.000000000000","30.0","300.0","A. LIVE ADULT USE PRODUCTS","07/17/2025","14:36:44","07/16/2025","#1101423 (AU)","0001101423","","","MULTI-PACK","","iNV","GREEN THUMB INDUSTRIES","","","","06/26/2026","","","","1.75 G","","1e249f39-d60a-4328-8634-a04ac3ef298f","ADULT",,0.07 %,0.16 %,0.3 %,0.42 %,0.17 %,,,,0.36 %,,,0.28 %,,24.93 %,26.92 %
"07/27/2025","08:13 AM","07/02/2025","14:12:56","b5789531-1560-4c57-afc0-699e81f54458","7e7d4cef-c516-4c2e-90d2-45e7242e2802","1A411030000238D000087573","QCS1L","RE000727","FLOWER","PRE-PACK SMALLS","PETE'S FARMSTAND","PETE'S FARMSTAND 7G SHAKE BLUEBERRY CRUFFIN FLOWER","INDICA","","14.000000","0.000000","0.000000","27.625000","7","GRAMS","386.750000000000","65.0","910.0","A. LIVE ADULT USE PRODUCTS","07/02/2025","14:27:22","07/01/2025","#4661(AU)","0001092589","","","SLEEPY,HAPPY,RELAXED,SHAKE,7G,BLUEBERRY,NUTTY,EARTHY","","RW9","GARDEN GREENS NJ","mc000000001","","","01/07/2026","","","","7 G","","2d2d9903-fa84-444c-a52a-9a513a0ec6ca","ADULT",,0.1 %,0.05 %,0.37 %,0.44 %,0.09 %,,,,0.38 %,,,0.54 %,,28.13 %,31.52 %
"07/27/2025","08:13 AM","06/25/2025","12:18:10","3a5c20d4-4432-4398-adb2-980be12823c0","fa261511-442c-4819-be01-d27361958741","1A4110300007595000007002","A0SQQ","RE000727","CARTRIDGE","LIVE RESIN","JERSEY SAUCE BOSS","JERSEY SAUCE BOSS 1G SLURRICANE LIVE RESIN SAUCE CARTRIDGE","INDICA","","1.000000","0.000000","0.000000","33.547345","1","GRAMS","33.547345000000","90.0","90.0","A. LIVE ADULT USE PRODUCTS","06/25/2025","12:40:29","06/18/2025","#250384","0001087144","","","LIVE RESIN,CARTRIDGE","","Ibu","GLASS MEADOWS MANUFACTURING","N000245","","","09/27/2025","","","","1 G","","3529d199-311a-46ec-88f1-aca2c7f520a3","ADULT",0.46 %,2.41 %,0.31 %,5.25 %,2.44 %,0.17 %,,,,0.59 %,,,2.11 %,,72.81 %,20.01 %
"07/27/2025","08:13 AM","06/25/2025","12:18:10","3a5c20d4-4432-4398-adb2-980be12823c0","c3423d3c-c8b8-4b06-af56-bff73053a0f3","1A4110300007595000007001","2EP38","RE000727","CARTRIDGE","LIVE RESIN","JERSEY SAUCE BOSS","JERSEY SAUCE BOSS 1G PLATINUM ICE LIVE RESIN SAUCE CARTRIDGE","INDICA","","5.000000","0.000000","0.000000","33.547345","1","GRAMS","167.736725000000","90.0","450.0","A. LIVE ADULT USE PRODUCTS","06/25/2025","12:40:29","06/18/2025","#250384","0001087144","","","LIVE RESIN,CARTRIDGE","","B2I","GLASS MEADOWS MANUFACTURING","N000245","","","10/02/2025","","","","1 G","","9c64d0a0-f4ed-466a-b550-4eee4c1b9700","ADULT",0.33 %,1.0 %,0.55 %,2.73 %,0.72 %,0.25 %,,,,0.79 %,,,2.34 %,,68.86 %,18.23 %
"07/27/2025","08:13 AM","05/14/2025","12:21:15","67bca0dc-55c4-4d3a-b2fe-cd40aea8524c","1d19e9e0-d3d6-482c-a219-32e0b4ce5984","1A411030000238D000072904","BNU8F","RE000727","FLOWER","PRE-PACK SMALLS","PETE'S FARMSTAND","PETE'S FARMSTAND 7G SMALLS MORCHID FLOWER","HYBRID","","4.000000","0.000000","0.000000","40.000000","7","GRAMS","160.000000000000","80.0","320.0","A. LIVE ADULT USE PRODUCTS","05/14/2025","13:53:42","05/13/2025","#4060 (AU)","#1060540","","","SMALLS,BIG BAGS,7G,PRE-PACK SMALLS","","5j8","GARDEN GREENS NJ","mc000000001","","","11/10/2025","","","","7 G","","c4f754f4-c391-4a5e-9918-d1daa2035ad7","ADULT",0.09 %,0.29 %,0.03 %,0.62 %,0.49 %,0.05 %,,,,,,,0.35 %,,29.87 %,34.06 %
"07/27/2025","08:13 AM","07/17/2025","14:23:29","af4fcfeb-9a91-4302-b6a3-e067de51f1a3","6abbc147-c6b0-4406-8872-a90760b37b40","1A4110300001CE9000083274","AH1SX","RE000727","PREROLL","FLOWER","RYTHM","RYTHM 1G DURBAN POISON INFUSED PREROLL","SATIVA","","46.000000","0.000000","0.000000","12.500000","1","GRAMS","575.000000000000","25.0","1150.0","A. LIVE ADULT USE PRODUCTS","07/17/2025","14:36:44","07/16/2025","#1101423 (AU)","0001101423","","","ENERGETIC,FOCUSED,HAPPY,INFUSED,WOODY,EARTHY,SPICY","","Fvi","GREEN THUMB INDUSTRIES","","","","01/04/2026","","","","1 G","","bcb95156-b819-48f2-8f70-566228af1902","ADULT",0.06 %,0.08 %,,0.26 %,,0.02 %,,,,0.26 %,,,,,45.22 %,48.47 %
"07/27/2025","08:13 AM","04/16/2025","12:23:27","208a5682-1d46-43e3-8087-4b3cc295b861","7e579ae5-1a85-4418-9d89-dbd68d109ba8","XK8VAD3TYVW3J625GH2OXTY9","W1ZU1","","MERCH","ROLLING PAPERS","OCB","OCB 1.25“ UNBLEACHED ORGANIC HEMP ROLLING PAPERS","","","12.000000","0.000000","0.000000","1.807697","","","21.692364000000","4.0","48.0","ANCILLARY","04/17/2025","18:54:43","","#1109 (Merch)","","","","MERCH","CC-OCB-HEMP-PAPERS-24-S","NVc","SMOKE SOURCE WHOLESALE","","","","","","","","ONE SIZE","","6fe6b919-e0d7-4f98-a812-b3f7bea456f5","ALL",
"07/27/2025","08:13 AM","06/26/2025","13:29:37","1c6827d0-5a37-45e7-8864-9082caea62e4","f0fb7bcf-badf-41a4-83d7-de4ecad054b5","1A4110300000002000158142","KOVZZ","RE000727","PREROLL","FLOWER","MISS GRASS","MISS GRASS 2G 5PK QUIET TIMES MINIS PREROLL","INDICA","","21.000000","0.000000","0.000000","15.000000","2","GRAMS","315.000000000000","34.0","714.0","A. LIVE ADULT USE PRODUCTS","06/26/2025","13:34:04","05/29/2025","#1010962","0001086739","","","SOOTHED,CONNECTED,CALM,SENSUAL,MULTI-PACK,HONEY,LAVENDER,SPICE,CHAMOMILE","","6kT","ASCEND NEW JERSEY","9292020","","","11/29/2025","","","","2 G","","4a22636b-fc37-4b15-b2d1-38f6c1de1c9d","ADULT",0.02 %,0.13 %,0.03 %,0.33 %,0.22 %,0.03 %,,0.07 %,0.09 %,0.12 %,,,0.3 %,,26.4 %,29.64 %
"07/27/2025","08:13 AM","05/30/2025","11:51:04","78fc275a-60ee-4a70-8b96-6fd440fdeeed","f8561478-cdc1-4397-aeff-c4863013c5e8","1A41103000002BF000109971","G06IA","RE000727","EDIBLE","OTHER","WANA","WANA CLASSIC BLOOD ORANGE 20:1 100MG 10 PK SOFT LOZENGES","HYBRID","","7.000000","0.000000","0.000000","14.000000","10","MILLIGRAMS","98.000000000000","28.0","196.0","A. LIVE ADULT USE PRODUCTS","05/30/2025","12:00:22","03/31/2025","# 6091 ( AU )","0001070803","","","BODY HIGH,CALM,THERAPEUTIC,10MG 10PK,GUMMY,RATIO,CITRUS","","Fy2","TERRASCEND NJ","MM000005","","","08/19/2025","","10.0","200.0","10 MG","","87adc414-61f0-4df5-ba0f-09e75171dcf2","ADULT",
"07/27/2025","08:13 AM","06/26/2025","13:37:45","985c8084-f90b-42ae-9b28-0ccee8e087e9","bf141608-3009-440a-9bc3-52f3691f0d0b","1A4110300006339000025748","ZF43R","RE000727","EDIBLE","GUMMY","WYLD","WYLD 100MG 10PK 1:1:1 BOYSENBERRY THC:CBD:CBN GUMMIES","INDICA","","21.000000","0.000000","0.000000","11.050000","100","MILLIGRAMS","232.050000000000","26.0","546.0","A. LIVE ADULT USE PRODUCTS","06/26/2025","13:46:45","05/30/2025","#000753","0001088508","","","RESTORATIVE SLEEP,DEEP REST,GUMMY,THC:CBD:CBN,RELAXATION,1:1:1,INDICA,EDIBLE,WYLD,RATIO,BOYSENBERRY,BOYSENBERRY","","TSY","WYLD","M000117","","","11/21/2025","","100.0","100.0","100 MG","","a8a6e5ea-6fac-4653-ac3d-c52bc9f22a81","ADULT",
"07/27/2025","08:13 AM","06/26/2025","13:37:45","985c8084-f90b-42ae-9b28-0ccee8e087e9","cef81414-83a7-4288-9092-b0f52ff070d0","1A4110300006339000024926","C8LBR","RE000727","EDIBLE","GUMMY","WYLD","WYLD 100MG 10PK HUCKLEBERRY GUMMIES","HYBRID","","28.000000","0.000000","0.000000","9.350000","100","MILLIGRAMS","261.800000000000","22.0","616.0","A. LIVE ADULT USE PRODUCTS","06/26/2025","13:46:45","05/20/2025","#000753","0001088508","","","EDIBLE,GUMMY,WYLD,HUCKLEBERRY,100MG 10PK","","IE8","WYLD","M000117","","","11/09/2025","","100.0","","100 MG","","d625d377-088c-4653-b261-d289eb50a12a","ADULT",
"07/27/2025","08:13 AM","07/21/2025","12:17:40","3cfbb024-6d5d-4353-8482-74e257c82dc8","a38a9db0-a6eb-4e7a-bd80-dc1c81bb0dee","1A411030000238D000090364","T7XZE","RE000727","PREROLL","FLOWER","TEST KITCHEN","TEST KITCHEN 1G ETERNITY X YELLOW MERMAID #17 PREROLL","HYBRID","","46.000000","0.000000","0.000000","8.500000","1","GRAMS","391.000000000000","20.0","920.0","A. LIVE ADULT USE PRODUCTS","07/21/2025","12:27:03","07/18/2025","# 4824","0001103589","","","TOP SHELF","","EAT","GARDEN GREENS NJ","mc000000001","","","01/07/2026","","","","1 G","","ec24497a-663d-445d-b1c2-b241880fd5cd","ADULT",,0.08 %,0.04 %,0.26 %,0.24 %,0.07 %,,,,0.21 %,,,0.57 %,,21.78 %,24.59 %
